コード,発行済株式数
5871,6000000
5884,12140258
5885,5498400
5886,2372200
5887,300000
5888,2758600
5889,24200260
5890,1614200
5891,5662000
5892,5457500
5893,1980000
5900,5970480
5901,153162162
5902,13469387
5903,6140850
5905,1392000
5906,15595050
5909,29342454
5911,43164802
5915,4972709
5918,2697600
5921,3000000
5922,1200000
5923,6712758
5928,11912515
5929,221000000
5930,72196487
5932,31554629
5933,21039326
5936,6387123
5938,287640830
5939,780000
5940,12626782
5941,6306000
5942,22167211
5943,48554930
5945,11147634
5946,34239312
5947,141126771
5949,45004973
5950,18688540
5951,19058587
5952,12317000
5955,142611765
5956,10000000
5957,39985017
5958,2960000
5959,47290632
5962,1037080
5965,14272000
5966,2477435
5967,23426000
5969,2000000
5970,43931260
5971,1360000
5973,6400000
5974,3420000
5975,54021824
5976,32805400
5981,16268242
5982,19780000
5983,1100000
5984,14310000
5985,34057923
5986,22558063
5987,1660000
5988,37054100
5989,28392830
5990,2366078
5991,231066144
5992,25542396
5994,4420000
5997,6000000
5998,4153370
6005,125291112
6013,75689100
6016,8400000
6018,3248548
6022,1540000
6023,27350000
6027,22867600
6029,10287000
6030,7178900
6031,25768600
6033,5508676
6034,5718600
6035,17839710
6036,28280840
6037,19753800
6038,5062600
6039,14391000
6040,48008700
6042,2000000
6044,6583485
6045,7975800
6046,19500000
6047,24237774
6049,22680000
6050,11933516
6054,28160000
6055,105149520
6058,46914039
6059,21618800
6061,10050000
6062,32712000
6063,2519600
6069,8101000
6070,12605700
6071,42001800
6072,23148000
6073,12348500
6074,4026056
6078,27411600
6080,31779000
6081,16899582
6082,10938719
6083,7832400
6085,114860220
6086,21666000
6087,3980000
6088,86000000
6089,23118900
6090,5919797
6091,13727553
6092,8175200
6093,45950238
6094,18022924
6096,9845600
6098,1472504149
6099,60600000
6101,48000000
6103,67510308
6104,24820406
6113,317451417
6118,59662021
6125,6703795
6134,97823748
6135,24893841
6136,96145417
6137,22614665
6138,2992999
6140,48430000
6141,142325934
6143,54792239
6144,15160000
6145,18098923
6146,108483729
6147,4579000
6149,6392736
6150,1020000
6151,19154495
6155,11020000
6156,5300000
6157,25035034
6158,7028000
6159,7706100
6161,11768000
6165,27622400
6166,11020900
6167,20000000
6168,1300010
6171,14237995
6173,10611129
6174,406666
6176,14575300
6177,25243500
6178,1811314000
6180,1868839
6181,44968700
6182,10888060
6183,74522695
6184,41194972
6185,14777555
6186,5531006
6189,9547580
6190,4076933
